name,place_id,restaurant_type,cuisine_type,address,rating,review_count,price_range,Phone_number,website,url,atmosphere,dietary_options,service_options,amenities
The Garden Cafe,1,Cafe,Irish,"Assumption Rd, Blackpool, Cork, T23 FDT4, Ireland",4.7,47,€5-15,+353 21 345 6789,https://www.google.com/url?q=https://www.gardencafecork.com/&opi=79508299&sa=U&ved=0ahUKEwiGh_qP2JiQAxXVTWwGHdRqM9cQ61gIGigS&usg=AOvVaw2JB9AHHStHjnpzIt2y9H4K,https://www.google.com/maps/place/The+Garden+Cafe/data=!4m7!3m6!1s0x4844907258d2f7dd:0x9cfabff77ddfc195!8m2!3d51.9112433!4d-8.4715389!16s%2Fg%2F1ptxg39sn!19sChIJ3ffSWHKQREgRlcHfffe_-pw?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Oval,2,Pub,Irish,"25 S Main St, Centre, Cork, T12 Y15D, Ireland",4.7,47,€10-25,+353 83 456 7890,https://www.google.com/url?q=http://www.corkheritagepubs.com/pubs/the-oval/&opi=79508299&sa=U&ved=0ahUKEwjg4MOc2JiQAxUgUGcHHcbIFX8Q61gIGigS&usg=AOvVaw2KILw9pZuE45LvlqdUhMzN,https://www.google.com/maps/place/The+Oval/data=!4m7!3m6!1s0x48449010a9c7faa3:0xec08c58544e5a6ce!8m2!3d51.8967466!4d-8.4766411!16s%2Fg%2F124sq5vst!19sChIJo_rHqRCQREgRzqblRIXFCOw?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Badger & Dodo Roastery Outlet,3,Cafe,Sweets and Savory,"11 Barrack St, Cork, T12 T8YV, Ireland",4.6,46,€5-15,+353 21 456 7891,https://www.google.com/url?q=https://badgeranddodo.ie/&opi=79508299&sa=U&ved=0ahUKEwjV9t-o2JiQAxXtSGwGHXk_MkwQ61gIFygO&usg=AOvVaw0cPaaY2ed8lnRSoocBbW_L,https://www.google.com/maps/place/Badger+%26+Dodo+Roastery+Outlet/data=!4m7!3m6!1s0x484491885cd0e3fb:0x8ad9a1788468f2f!8m2!3d51.8949396!4d-8.4761831!16s%2Fg%2F11h940xx4h!19sChIJ--PQXIiRREgRL49GiBearQg?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Floury Apron,4,Cafe,Irish,"3 Chapel Lane Row, Ballincollig, Cork, P31 Y324, Ireland",4.4,44,€5-15,+353 21 567 8901,https://www.google.com/url?q=http://www.theflouryapron.ie/&opi=79508299&sa=U&ved=0ahUKEwji7_2z2JiQAxUoR2wGHW12AqcQ61gIGigS&usg=AOvVaw0Wr8tM5k0cDbKC4I8irT8y,https://www.google.com/maps/place/The+Floury+Apron/data=!4m7!3m6!1s0x4844920d6a44806b:0x42aff34ee17c712d!8m2!3d51.8871718!4d-8.59127!16s%2Fg%2F11g6pxm231!19sChIJa4BEag2SREgRLXF84U7zr0I?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Café Velo,5,Cafe,Irish,"3 George's Quay, Ballintemple, Cork, T12 KD37, Ireland",4.3,43,€5-15,+353 85 678 9012,,https://www.google.com/maps/place/Caf%C3%A9+Velo/data=!4m7!3m6!1s0x4844901ad2344f7b:0x7d7f2c8f4b56203b!8m2!3d51.8948915!4d-8.4701398!16s%2Fg%2F11byp5zsjs!19sChIJe0800hqQREgROyBWS48sf30?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Laurel Bar,6,Pub,Irish,"39 Mary St, Cork, T12 A252, Ireland",4.6,46,€10-25,+353 21 678 9012,,https://www.google.com/maps/place/The+Laurel+Bar/data=!4m7!3m6!1s0x4844901af1fd6ccf:0x25b6e4be12d07f0!8m2!3d51.895311!4d-8.4725827!16s%2Fg%2F11f0ksqsnq!19sChIJz2z98RqQREgR8Act4UtuWwI?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
The Hyde Out,7,Pub,Irish,"12 Douglas St, Ballintemple, Cork, T12 EY43, Ireland",4.6,46,€10-25,+353 21 789 0123,,https://www.google.com/maps/place/The+Hyde+Out/data=!4m7!3m6!1s0x484491a188aaa153:0x3fdd3e5325ad2878!8m2!3d51.8927441!4d-8.4685683!16s%2Fg%2F11v5b0l93z!19sChIJU6GqiKGRREgReCitJVM-3T8?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Tara's Tea Rooms,8,Cafe,Irish,"45 MacCurtain Street, Centre, Cork, T23 DVY3, Ireland",4.7,47,€5-15,+353 87 890 1234,,https://www.google.com/maps/place/Tara%27s+Tea+Rooms/data=!4m7!3m6!1s0x4844900e64095caf:0x31abab5d1393a75c!8m2!3d51.9016985!4d-8.468844!16s%2Fg%2F11b6_fln3h!19sChIJr1wJZA6QREgRXKeTE12rqzE?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Comix Café,9,Cafe,Irish,"Kinsale Road Commercial Centre, Unit 30, Cork, Ireland",4.5,45,€5-15,+353 21 890 1234,https://www.google.com/url?q=https://comix.ie/%3Futm_source%3DGMBwebsite%26utm_medium%3Dorganic%26utm_campaign%3DGoogle%2520My%2520Business&opi=79508299&sa=U&ved=0ahUKEwjFio3y2JiQAxVcSGwGHch6AW8Q61gIGigS&usg=AOvVaw0MdZ2gF-Em4hx9Tgi1VueX,https://www.google.com/maps/place/Comix+Caf%C3%A9/data=!4m7!3m6!1s0x48448fe8ac46cd71:0xe2971511f0a62bbe!8m2!3d51.8753132!4d-8.4714581!16s%2Fg%2F11b6_h34m3!19sChIJcc1GrOiPREgRvium8BEVl-I?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Rearden's Bar,10,Pub,Irish,"26 Washington St, Centre, Cork, T12 WNP8, Ireland",4.2,42,€10-25,+353 21 901 2345,https://www.google.com/url?q=http://www.reardens.com/&opi=79508299&sa=U&ved=0ahUKEwj24ZL_2JiQAxVhTmwGHRIwPX8Q61gIFygS&usg=AOvVaw2bR4Xlgd9sF5ubokhUjsa1,https://www.google.com/maps/place/Rearden%27s+Bar/data=!4m7!3m6!1s0x484490174b65f941:0x3b019d02ca131169!8m2!3d51.8974241!4d-8.4780317!16s%2Fg%2F1wc30ndg!19sChIJQfllSxeQREgRaRETygKdATs?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery","Bar, Live music"
