"restaurant_name","place_id","username","user_review_id","review_date","rating","review_text"
"The Garden Cafe",1,"Rich Dietz",2119,"a year ago",5,"Amazing location and atmosphere.  Food was great and felt like you were away from the city.  Highly recommend."
"The Oval",2,"Thomas Thornton",2487,"2 years ago",5,"The Oval is another one of Cork's iconic pubs and its one of the cozy ones!
Located on the corner of S Main St and Tucky St., its a pub with a unique Oval shaped ceiling in Cork City center!
The pub has a wonderful ambienceve and the crowd that frequents the bar also gives it a certain charm!

The Staff:
The staff are friendly and welcoming as soon as you walk in the door!
They are very attentive and will serve you quickly!

Drink Selection:
They have a great selection of beer on tap and they serve all three major stouts!
Of which I chose a pint of their delicious Guinness draft!
A lot of people were ordering the Murphy's and Beamish aswell so I can only imagine that they are also good aswell!

Layout:
The layout of the bar is kind of split into two rooms. The first room has the feature for which it owes its namesake, the Oval shaped ceiling.
The second room has more seating and is to the rear of the premises. The bar is located in this room along with some seats.
The second room is smaller and is located towards the back. The main seating area is in this room and the stairs to the toilet is also here.
The bar has access to the seating area on Tucky St. which offers access to people who use wheelchairs.

Decor:
The pub is decorated with a lot of wood and with little quirky details and morabilia as well as little plaques with historic details, etc.

Overall Ipinion:
The Oval is an old bar in the City Center where time moves a little slower. They have a great selection of beers to choose from and I highly recommend stopping by for a beautiful pint of Guinness or drink of your choosing and have a chat with friends!"
"Badger & Dodo Roastery Outlet",3,"Zoe Serodio",2659,"6 days ago",5,"We did a Barista course with Aaron, and it was definitely worth the value! The small group classes allowed us to actually learn and practice as much as we wanted, which we truly appreciated. We’ll definitely recommend it to someone interested in the coffee industry and looking to get started somewhere :)"
"Badger & Dodo Roastery Outlet",3,"Kalinda Link",1340,"a year ago",5,"We were getting our laundry done at the Laundry Basket across the street. Popped in here for a coffee and was the espresso ever fabulous! The next day when we came back to pick up our laundry the barista took the time to warm up my ceramic mug since we were staying in. Absolutely wonderful! Highly recommend!"
"Badger & Dodo Roastery Outlet",3,"Kevin Byrne",1413,"5 years ago",4,"Very few places in Cork where you can genuinely purchase quality coffee. There are a handful of good producers and roasters in Cork.  This is definitely one of the best if you don't want the acrid tastes all too common amongst Cork cafes.  This cafe forces the others to up their game."
"Badger & Dodo Roastery Outlet",3,"kieran Kenneally",1438,"2 years ago",4,"Nice small coffee shop with a small but cosy sitting area. Good music playing in the background, toilets are clean and the service and Coffee are excellent.
Coffee such a dark creamy colour before I put in some milk. You just know it's good before you even taste it."
"Badger & Dodo Roastery Outlet",3,"Apriry Ly",267,"4 months ago",5,"Badger & Dodo Coffee Roasters, Cork: Absolutely Amazing Coffee!

If you're serious about your coffee, then Badger & Dodo Coffee Roasters in Cork is the one to get your fix with these folks who are passionate about their craft, and it truly shines through in every cup.

The coffee here is simply **amazing**. Whether you're after a perfectly pulled espresso, a silky-smooth flat white, or a beautifully balanced filter coffee, they consistently deliver. The beans are expertly roasted, resulting in rich, complex flavors that are a real treat for the palate. It's clear they source high-quality beans and treat them with the respect they deserve.

Beyond the fantastic coffee, we tried them when they popped up at the Midleton farmers market. Highly, highly recommended for anyone seeking a truly exceptional coffee experience in Cork!"
"Badger & Dodo Roastery Outlet",3,"tomas allen",2518,"a year ago",4,"Just went in for coffee. The staff member was friendly and courteous. Nice coffee. Sat outside to drink it. Price of  a latte  @ €3.90 but not a bad size cup . Nice place to call again. Didn't get any food there."
"Badger & Dodo Roastery Outlet",3,"CillianmfingHannon",516,"8 months ago",5,"Really nice coffee here, some of the best in the city!
2.80 for an americano as well with a keep cup!
Alexa has such great customer service as well she makes everyone feel welcome and at home."
"Badger & Dodo Roastery Outlet",3,"Eileen Dineen-Marples",770,"3 years ago",5,"Rebecca made me the most delicious, thick, creamy and flavoursome coconut mocha which I had with a vegan “ kind” chocolate nut bar. Best mocha for a long time! I will be back soon ✔️thanks 🙏 …"
